Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
1/9/2025,27/8/2025,N-ESKP,WOB06376,C01189 CASH SALES NSW ****,NV | GA236A Surfmist Matt,B/O,1,45,0,46.8,0,0
28/8/2025,24/7/2025,W-HOPV,WOB06183,C01594 K & R CONTRACTORS (WA) PTY LTD,W | GL229A MONUMENT(R) MATT,Please pack in bundles,4,21,0,31.95,0,0
27/8/2025,16/7/2025,W-HOPV,WOB05968,C03506 HEATSEAL PTY LTD,W | WOODLOOK RANGE,(MARK: IRONBARK WOODGRAIN)  PLEASE DELIVER TO WOODLOOK FRIDAY 18TH JULY,11,29,0,0,27.31,0
27/8/2025,28/7/2025,Q-YTLA,WOB06295,C02162 WELLMOORE GLASS & ALUMINIUM,Q | 272-5125S Deep Ocean Satin,- None -,1,5,0,0,4.5,0
22/8/2025,25/7/2025,W-HOPV,WOB06241,C02359 RELIABLE GLASS AND ALUMINIUM,W | 27281880 CLASSIC PEARL WHITE,TO02041,2,2,0,5.84,0,0
22/8/2025,25/7/2025,W-HOPV,WOB06253,C02970 ARC GLASS & ALUMINIUM,W | 90E9190F ELEMENTS BLACK (NIGHT SKY),Please pack in bundles,4,42,0,0,105.93,0
21/8/2025,23/7/2025,Q-YTLA,WOB06138,C01240 JACKSON R CAMPBELL TA JRC GLASS SOLUTIONS,Q | Light Bronze Ano - 20um,- None -,25,40,0,0,57.86,0
21/8/2025,23/7/2025,Q-YTLA,WOB06143,C01606 CMB MANUFACTURING PTY LTD,Q | GP136A Ironstone Satin,- None -,1,1,0,0,1.51,0
21/8/2025,1/8/2025,V-KYSB,WOB06424,C01632 OPTIMA WINDOWS & DOORS PTY LTD,NV | 272-19319 Black Matt,CPO: 30072025MH B/O,1,2,0,3.7,0,0
20/8/2025,23/7/2025,V-KYSB,WOB06139,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-19319 Black Matt,ALLEGION STOCK ORDER,2,60,0,0,20.49,0
20/8/2025,23/7/2025,V-KYSB,WOB06140,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-81880 Classic Pearl White Gloss,ALLEGION STOCK ORDER,3,60,0,0,46.06,0
19/8/2025,21/7/2025,Q-YTLA,WOB06043,C02577 CENTENARY GLASS AND MIRROR (WILROE PTY LTD T/A),Q | 272-4134S Manor Red Satin,- None -,1,2,0,0,2.21,0
19/8/2025,22/7/2025,W-HOPV,WOB06122,C02970 ARC GLASS & ALUMINIUM,W | GN231A NIGHT SKY(R) MATT (EBONY),Please pack in bundles,21,110,0,0,284.44,0
